run_id,goal,steps,tool_calls,tool_entropy,goal_alignment,pipeline_deviation,composite_score,agency_tier,tool_distribution
31,Assess supply chain resilience of an AI server's memory chips (HBM),46,90,0.8897,0.3556,0.8889,0.6759,MODERATELY AGENTIC,"{""trace_full_chain"": 13, ""trace_supply_chain"": 12, ""assess_geo_risk"": 10, ""list_scenarios"": 10, ""map_dependencies"": 8, ""identify_echelon_bottleneck"": 8, ""customer_demand_signal"": 8, ""find_substitutes"": 7, ""echelon_risk_profile"": 4, ""get_recommendations"": 3, ""list_data_sources"": 2, ""identify_chokepoints"": 1, ""compare_minerals"": 1, ""portfolio_overview"": 1, ""generate_report"": 1, ""finish"": 1}"
32,"Analyse geopolitical risk for Gallium, Germanium, Rare Earth Elements",23,39,0.9487,0.0769,0.8205,0.5743,MODERATELY AGENTIC,"{""map_dependencies"": 5, ""fetch_live_country_stability"": 4, ""assess_geo_risk"": 3, ""trace_supply_chain"": 3, ""find_substitutes"": 3, ""trace_full_chain"": 3, ""identify_echelon_bottleneck"": 3, ""customer_demand_signal"": 3, ""list_data_sources"": 3, ""run_scenario"": 2, ""portfolio_overview"": 1, ""identify_chokepoints"": 1, ""compare_minerals"": 1, ""get_recommendations"": 1, ""list_scenarios"": 1, ""generate_report"": 1, ""finish"": 1}"
33,Analyse geopolitical risk for Cobalt and Lithium in EV battery manufacturing,28,38,0.9042,0.0526,0.7895,0.5406,MODERATELY AGENTIC,"{""map_dependencies"": 9, ""fetch_live_country_stability"": 5, ""assess_geo_risk"": 2, ""trace_supply_chain"": 2, ""find_substitutes"": 2, ""trace_full_chain"": 2, ""echelon_risk_profile"": 2, ""identify_echelon_bottleneck"": 2, ""customer_demand_signal"": 2, ""list_scenarios"": 2, ""identify_chokepoints"": 1, ""compare_minerals"": 1, ""get_recommendations"": 1, ""portfolio_overview"": 1, ""list_data_sources"": 1, ""run_scenario"": 1, ""generate_report"": 1, ""finish"": 1}"
34,Trace full source-to-customer chain for a smartphone chipset,24,97,0.7383,0.5464,0.9072,0.6953,MODERATELY AGENTIC,"{""trace_full_chain"": 30, ""customer_demand_signal"": 20, ""identify_echelon_bottleneck"": 15, ""echelon_risk_profile"": 11, ""run_scenario"": 10, ""map_dependencies"": 2, ""trace_supply_chain"": 2, ""assess_geo_risk"": 1, ""find_substitutes"": 1, ""fetch_live_country_stability"": 1, ""list_data_sources"": 1, ""list_scenarios"": 1, ""generate_report"": 1, ""finish"": 1}"
35,Simulate a China gallium export ban and its impact on AI hardware supply,26,33,0.9109,0.1212,0.7576,0.5644,MODERATELY AGENTIC,"{""map_dependencies"": 6, ""get_recommendations"": 5, ""trace_full_chain"": 4, ""trace_supply_chain"": 2, ""find_substitutes"": 2, ""run_scenario"": 2, ""assess_geo_risk"": 1, ""fetch_live_country_stability"": 1, ""portfolio_overview"": 1, ""identify_chokepoints"": 1, ""compare_minerals"": 1, ""echelon_risk_profile"": 1, ""identify_echelon_bottleneck"": 1, ""customer_demand_signal"": 1, ""list_data_sources"": 1, ""list_scenarios"": 1, ""generate_report"": 1, ""finish"": 1}"
36,Simulate a Taiwan semiconductor disruption scenario,32,47,0.966,0.0851,0.8298,0.5864,MODERATELY AGENTIC,"{""get_recommendations"": 5, ""map_dependencies"": 5, ""assess_geo_risk"": 4, ""trace_supply_chain"": 4, ""find_substitutes"": 4, ""trace_full_chain"": 3, ""echelon_risk_profile"": 3, ""identify_echelon_bottleneck"": 3, ""portfolio_overview"": 2, ""identify_chokepoints"": 2, ""compare_minerals"": 2, ""finish"": 2, ""customer_demand_signal"": 2, ""list_scenarios"": 2, ""run_scenario"": 2, ""list_data_sources"": 1, ""generate_report"": 1}"
37,Identify chokepoints across an AI datacentre hardware portfolio,38,62,0.9333,0.0323,0.8226,0.5508,MODERATELY AGENTIC,"{""run_scenario"": 8, ""trace_supply_chain"": 7, ""assess_geo_risk"": 6, ""find_substitutes"": 6, ""map_dependencies"": 5, ""get_recommendations"": 5, ""fetch_live_country_stability"": 4, ""trace_full_chain"": 4, ""echelon_risk_profile"": 4, ""identify_echelon_bottleneck"": 3, ""portfolio_overview"": 2, ""identify_chokepoints"": 2, ""finish"": 2, ""compare_minerals"": 1, ""list_data_sources"": 1, ""list_scenarios"": 1, ""generate_report"": 1}"
38,Compare mineral risk for silicon vs rare earths in AI chip production,41,78,0.8845,0.3205,0.8846,0.6589,MODERATELY AGENTIC,"{""map_dependencies"": 14, ""assess_geo_risk"": 10, ""trace_supply_chain"": 9, ""run_scenario"": 8, ""find_substitutes"": 7, ""fetch_live_country_stability"": 6, ""get_recommendations"": 5, ""echelon_risk_profile"": 3, ""portfolio_overview"": 2, ""trace_full_chain"": 2, ""identify_echelon_bottleneck"": 2, ""customer_demand_signal"": 2, ""list_data_sources"": 2, ""finish"": 2, ""identify_chokepoints"": 1, ""compare_minerals"": 1, ""list_scenarios"": 1, ""generate_report"": 1}"
39,"Assess resilience of AMD AI GPU, board-ready report",36,67,0.8511,0.1194,0.8657,0.5613,MODERATELY AGENTIC,"{""trace_supply_chain"": 14, ""assess_geo_risk"": 10, ""trace_full_chain"": 9, ""run_scenario"": 7, ""find_substitutes"": 6, ""fetch_live_country_stability"": 5, ""echelon_risk_profile"": 3, ""identify_echelon_bottleneck"": 3, ""map_dependencies"": 2, ""portfolio_overview"": 1, ""identify_chokepoints"": 1, ""compare_minerals"": 1, ""get_recommendations"": 1, ""customer_demand_signal"": 1, ""list_scenarios"": 1, ""generate_report"": 1, ""finish"": 1}"
40,"Assess supply chain resilience of NVIDIA AI GPU, board-ready report",12,12,1.0,0.3333,0.0,0.5333,MODERATELY AGENTIC,"{""portfolio_overview"": 1, ""map_dependencies"": 1, ""trace_supply_chain"": 1, ""assess_geo_risk"": 1, ""find_substitutes"": 1, ""trace_full_chain"": 1, ""echelon_risk_profile"": 1, ""identify_echelon_bottleneck"": 1, ""list_scenarios"": 1, ""run_scenario"": 1, ""get_recommendations"": 1, ""finish"": 1}"
41,"Assess supply chain resilience of NVIDIA AI GPU, board-ready report",12,12,1.0,0.3333,0.0,0.5333,MODERATELY AGENTIC,"{""portfolio_overview"": 1, ""map_dependencies"": 1, ""trace_supply_chain"": 1, ""assess_geo_risk"": 1, ""find_substitutes"": 1, ""trace_full_chain"": 1, ""echelon_risk_profile"": 1, ""identify_echelon_bottleneck"": 1, ""list_scenarios"": 1, ""run_scenario"": 1, ""get_recommendations"": 1, ""finish"": 1}"
42,"Assess supply chain resilience of NVIDIA AI GPU, board-ready report",13,13,0.3912,0.0769,0.8462,0.3565,PIPELINE-LIKE,"{""assess_geo_risk"": 12, ""finish"": 1}"
43,"Assess supply chain resilience of NVIDIA AI GPU, board-ready report",12,12,1.0,0.3333,0.0,0.5333,MODERATELY AGENTIC,"{""portfolio_overview"": 1, ""map_dependencies"": 1, ""trace_supply_chain"": 1, ""assess_geo_risk"": 1, ""find_substitutes"": 1, ""trace_full_chain"": 1, ""echelon_risk_profile"": 1, ""identify_echelon_bottleneck"": 1, ""list_scenarios"": 1, ""run_scenario"": 1, ""get_recommendations"": 1, ""finish"": 1}"
44,"Assess supply chain resilience of NVIDIA AI GPU, board-ready report",13,13,0.3912,0.0769,0.8462,0.3565,PIPELINE-LIKE,"{""assess_geo_risk"": 12, ""finish"": 1}"
45,"Analyse geopolitical risk for Gallium, Germanium, Rare Earth Elements",12,12,1.0,0.0833,0.0,0.4333,PIPELINE-LIKE,"{""portfolio_overview"": 1, ""map_dependencies"": 1, ""trace_supply_chain"": 1, ""assess_geo_risk"": 1, ""find_substitutes"": 1, ""trace_full_chain"": 1, ""echelon_risk_profile"": 1, ""identify_echelon_bottleneck"": 1, ""list_scenarios"": 1, ""run_scenario"": 1, ""get_recommendations"": 1, ""finish"": 1}"
46,"Analyse geopolitical risk for Gallium, Germanium, Rare Earth Elements",13,13,0.3912,0.0,0.8462,0.3257,PIPELINE-LIKE,"{""assess_geo_risk"": 12, ""finish"": 1}"
47,Trace full source-to-customer chain for a smartphone chipset,12,12,1.0,0.1667,0.0,0.4667,PIPELINE-LIKE,"{""portfolio_overview"": 1, ""map_dependencies"": 1, ""trace_supply_chain"": 1, ""assess_geo_risk"": 1, ""find_substitutes"": 1, ""trace_full_chain"": 1, ""echelon_risk_profile"": 1, ""identify_echelon_bottleneck"": 1, ""list_scenarios"": 1, ""run_scenario"": 1, ""get_recommendations"": 1, ""finish"": 1}"
48,Trace full source-to-customer chain for a smartphone chipset,13,13,0.3912,0.0,0.8462,0.3257,PIPELINE-LIKE,"{""assess_geo_risk"": 12, ""finish"": 1}"
49,Assess supply chain resilience of an AI server's memory chips (HBM),40,87,0.8005,0.2299,0.908,0.5938,MODERATELY AGENTIC,"{""trace_supply_chain"": 20, ""assess_geo_risk"": 18, ""find_substitutes"": 15, ""map_dependencies"": 8, ""run_scenario"": 4, ""get_recommendations"": 3, ""trace_full_chain"": 3, ""identify_echelon_bottleneck"": 3, ""customer_demand_signal"": 3, ""list_data_sources"": 3, ""portfolio_overview"": 1, ""identify_chokepoints"": 1, ""compare_minerals"": 1, ""echelon_risk_profile"": 1, ""list_scenarios"": 1, ""generate_report"": 1, ""finish"": 1}"
50,"Analyse geopolitical risk for Gallium, Germanium, Rare Earth Elements",32,49,0.9051,0.0612,0.8367,0.5539,MODERATELY AGENTIC,"{""map_dependencies"": 11, ""get_recommendations"": 5, ""fetch_live_country_stability"": 4, ""assess_geo_risk"": 3, ""trace_supply_chain"": 3, ""find_substitutes"": 3, ""trace_full_chain"": 3, ""echelon_risk_profile"": 3, ""identify_echelon_bottleneck"": 3, ""customer_demand_signal"": 2, ""run_scenario"": 2, ""portfolio_overview"": 1, ""identify_chokepoints"": 1, ""compare_minerals"": 1, ""list_data_sources"": 1, ""list_scenarios"": 1, ""generate_report"": 1, ""finish"": 1}"
51,Analyse geopolitical risk for Cobalt and Lithium in EV battery manufacturing,27,36,0.925,0.0,0.7778,0.5256,MODERATELY AGENTIC,"{""map_dependencies"": 7, ""fetch_live_country_stability"": 5, ""assess_geo_risk"": 2, ""trace_supply_chain"": 2, ""find_substitutes"": 2, ""get_recommendations"": 2, ""trace_full_chain"": 2, ""echelon_risk_profile"": 2, ""identify_echelon_bottleneck"": 2, ""customer_demand_signal"": 2, ""identify_chokepoints"": 1, ""portfolio_overview"": 1, ""compare_minerals"": 1, ""list_data_sources"": 1, ""list_scenarios"": 1, ""run_scenario"": 1, ""generate_report"": 1, ""finish"": 1}"
52,Trace full source-to-customer chain for a smartphone chipset,36,30,0.7986,0.4333,0.8,0.6528,MODERATELY AGENTIC,"{""trace_full_chain"": 13, ""echelon_risk_profile"": 4, ""map_dependencies"": 3, ""identify_echelon_bottleneck"": 3, ""customer_demand_signal"": 2, ""identify_chokepoints"": 1, ""compare_minerals"": 1, ""get_recommendations"": 1, ""list_scenarios"": 1, ""finish"": 1}"
53,Simulate a China gallium export ban and its impact on AI hardware supply,29,32,0.8803,0.125,0.75,0.5521,MODERATELY AGENTIC,"{""trace_full_chain"": 9, ""map_dependencies"": 4, ""trace_supply_chain"": 2, ""get_recommendations"": 2, ""run_scenario"": 2, ""assess_geo_risk"": 1, ""find_substitutes"": 1, ""fetch_live_country_stability"": 1, ""portfolio_overview"": 1, ""identify_chokepoints"": 1, ""compare_minerals"": 1, ""echelon_risk_profile"": 1, ""identify_echelon_bottleneck"": 1, ""customer_demand_signal"": 1, ""list_data_sources"": 1, ""list_scenarios"": 1, ""generate_report"": 1, ""finish"": 1}"
54,Simulate a Taiwan semiconductor disruption scenario,29,38,0.9349,0.1316,0.8158,0.5898,MODERATELY AGENTIC,"{""map_dependencies"": 6, ""get_recommendations"": 5, ""trace_supply_chain"": 4, ""find_substitutes"": 4, ""assess_geo_risk"": 3, ""list_scenarios"": 3, ""identify_chokepoints"": 2, ""compare_minerals"": 2, ""trace_full_chain"": 2, ""run_scenario"": 2, ""portfolio_overview"": 1, ""list_data_sources"": 1, ""echelon_risk_profile"": 1, ""generate_report"": 1, ""finish"": 1}"
55,Identify chokepoints across an AI datacentre hardware portfolio,39,35,0.8791,0.0571,0.7714,0.5288,MODERATELY AGENTIC,"{""run_scenario"": 7, ""trace_full_chain"": 6, ""map_dependencies"": 5, ""get_recommendations"": 5, ""portfolio_overview"": 2, ""list_data_sources"": 2, ""identify_chokepoints"": 1, ""compare_minerals"": 1, ""echelon_risk_profile"": 1, ""identify_echelon_bottleneck"": 1, ""customer_demand_signal"": 1, ""list_scenarios"": 1, ""generate_report"": 1, ""finish"": 1}"
56,Compare mineral risk for silicon vs rare earths in AI chip production,43,76,0.8933,0.0132,0.8816,0.5389,MODERATELY AGENTIC,"{""map_dependencies"": 12, ""assess_geo_risk"": 9, ""trace_supply_chain"": 9, ""find_substitutes"": 9, ""run_scenario"": 7, ""fetch_live_country_stability"": 5, ""get_recommendations"": 5, ""identify_chokepoints"": 3, ""identify_echelon_bottleneck"": 3, ""list_data_sources"": 3, ""trace_full_chain"": 2, ""echelon_risk_profile"": 2, ""customer_demand_signal"": 2, ""portfolio_overview"": 1, ""compare_minerals"": 1, ""list_scenarios"": 1, ""generate_report"": 1, ""finish"": 1}"
57,"Assess resilience of AMD AI GPU, board-ready report",36,54,0.9355,0.1667,0.8519,0.6113,MODERATELY AGENTIC,"{""trace_supply_chain"": 8, ""assess_geo_risk"": 7, ""trace_full_chain"": 5, ""map_dependencies"": 4, ""echelon_risk_profile"": 4, ""run_scenario"": 4, ""find_substitutes"": 3, ""fetch_live_country_stability"": 3, ""compare_minerals"": 3, ""identify_echelon_bottleneck"": 3, ""identify_chokepoints"": 2, ""get_recommendations"": 2, ""customer_demand_signal"": 2, ""portfolio_overview"": 1, ""list_scenarios"": 1, ""generate_report"": 1, ""finish"": 1}"
58,Assess supply chain resilience of an AI server's memory chips (HBM),41,55,0.903,0.2909,0.8182,0.6412,MODERATELY AGENTIC,"{""assess_geo_risk"": 9, ""trace_supply_chain"": 9, ""find_substitutes"": 7, ""map_dependencies"": 4, ""fetch_live_country_stability"": 4, ""trace_full_chain"": 3, ""echelon_risk_profile"": 3, ""identify_echelon_bottleneck"": 3, ""get_recommendations"": 2, ""finish"": 2, ""customer_demand_signal"": 2, ""list_scenarios"": 2, ""portfolio_overview"": 1, ""identify_chokepoints"": 1, ""compare_minerals"": 1, ""list_data_sources"": 1, ""generate_report"": 1}"
59,"Analyse geopolitical risk for Gallium, Germanium, Rare Earth Elements",32,43,0.9424,0.0698,0.814,0.5677,MODERATELY AGENTIC,"{""map_dependencies"": 7, ""get_recommendations"": 4, ""assess_geo_risk"": 3, ""trace_supply_chain"": 3, ""find_substitutes"": 3, ""trace_full_chain"": 3, ""echelon_risk_profile"": 3, ""identify_echelon_bottleneck"": 3, ""customer_demand_signal"": 3, ""run_scenario"": 3, ""compare_minerals"": 2, ""portfolio_overview"": 1, ""identify_chokepoints"": 1, ""list_data_sources"": 1, ""list_scenarios"": 1, ""generate_report"": 1, ""finish"": 1}"
60,Analyse geopolitical risk for Cobalt and Lithium in EV battery manufacturing,28,35,0.9731,0.0,0.7714,0.5435,MODERATELY AGENTIC,"{""fetch_live_country_stability"": 4, ""identify_chokepoints"": 3, ""list_data_sources"": 3, ""assess_geo_risk"": 2, ""trace_supply_chain"": 2, ""find_substitutes"": 2, ""map_dependencies"": 2, ""get_recommendations"": 2, ""trace_full_chain"": 2, ""echelon_risk_profile"": 2, ""identify_echelon_bottleneck"": 2, ""customer_demand_signal"": 2, ""list_scenarios"": 2, ""portfolio_overview"": 1, ""compare_minerals"": 1, ""run_scenario"": 1, ""generate_report"": 1, ""finish"": 1}"
61,Trace full source-to-customer chain for a smartphone chipset,34,70,0.8384,0.3571,0.8714,0.6525,MODERATELY AGENTIC,"{""trace_full_chain"": 19, ""identify_echelon_bottleneck"": 10, ""assess_geo_risk"": 9, ""map_dependencies"": 7, ""trace_supply_chain"": 6, ""get_recommendations"": 5, ""echelon_risk_profile"": 5, ""find_substitutes"": 3, ""identify_chokepoints"": 1, ""compare_minerals"": 1, ""portfolio_overview"": 1, ""list_scenarios"": 1, ""generate_report"": 1, ""finish"": 1}"
62,Simulate a China gallium export ban and its impact on AI hardware supply,35,40,0.8667,0.1,0.775,0.5417,MODERATELY AGENTIC,"{""map_dependencies"": 11, ""list_data_sources"": 6, ""trace_full_chain"": 3, ""assess_geo_risk"": 2, ""trace_supply_chain"": 2, ""find_substitutes"": 2, ""get_recommendations"": 2, ""run_scenario"": 2, ""fetch_live_country_stability"": 1, ""identify_chokepoints"": 1, ""compare_minerals"": 1, ""portfolio_overview"": 1, ""echelon_risk_profile"": 1, ""identify_echelon_bottleneck"": 1, ""customer_demand_signal"": 1, ""list_scenarios"": 1, ""generate_report"": 1, ""finish"": 1}"
63,Simulate a Taiwan semiconductor disruption scenario,36,57,0.9197,0.0877,0.8596,0.5749,MODERATELY AGENTIC,"{""get_recommendations"": 10, ""trace_full_chain"": 7, ""map_dependencies"": 5, ""identify_echelon_bottleneck"": 5, ""echelon_risk_profile"": 4, ""assess_geo_risk"": 3, ""trace_supply_chain"": 3, ""find_substitutes"": 3, ""identify_chokepoints"": 3, ""list_scenarios"": 3, ""portfolio_overview"": 2, ""finish"": 2, ""run_scenario"": 2, ""fetch_live_country_stability"": 1, ""compare_minerals"": 1, ""customer_demand_signal"": 1, ""list_data_sources"": 1, ""generate_report"": 1}"
64,Identify chokepoints across an AI datacentre hardware portfolio,41,33,0.9115,0.0303,0.7576,0.5282,MODERATELY AGENTIC,"{""run_scenario"": 7, ""get_recommendations"": 4, ""trace_full_chain"": 4, ""echelon_risk_profile"": 4, ""identify_echelon_bottleneck"": 3, ""customer_demand_signal"": 3, ""list_scenarios"": 2, ""portfolio_overview"": 1, ""identify_chokepoints"": 1, ""map_dependencies"": 1, ""compare_minerals"": 1, ""generate_report"": 1, ""finish"": 1}"
65,Compare mineral risk for silicon vs rare earths in AI chip production,29,53,0.9432,0.0189,0.8491,0.5547,MODERATELY AGENTIC,"{""map_dependencies"": 7, ""fetch_live_country_stability"": 6, ""get_recommendations"": 5, ""run_scenario"": 5, ""assess_geo_risk"": 4, ""trace_supply_chain"": 4, ""list_data_sources"": 3, ""find_substitutes"": 2, ""identify_chokepoints"": 2, ""trace_full_chain"": 2, ""echelon_risk_profile"": 2, ""identify_echelon_bottleneck"": 2, ""customer_demand_signal"": 2, ""finish"": 2, ""list_scenarios"": 2, ""portfolio_overview"": 1, ""compare_minerals"": 1, ""generate_report"": 1}"
66,"Assess resilience of AMD AI GPU, board-ready report",48,77,0.8633,0.1039,0.8831,0.5635,MODERATELY AGENTIC,"{""trace_full_chain"": 17, ""identify_echelon_bottleneck"": 12, ""assess_geo_risk"": 9, ""run_scenario"": 7, ""map_dependencies"": 6, ""echelon_risk_profile"": 6, ""customer_demand_signal"": 6, ""get_recommendations"": 5, ""compare_minerals"": 2, ""list_scenarios"": 2, ""portfolio_overview"": 1, ""identify_chokepoints"": 1, ""list_data_sources"": 1, ""generate_report"": 1, ""finish"": 1}"
67,Assess supply chain resilience of an AI server's memory chips (HBM),50,102,0.8704,0.1471,0.9118,0.5894,MODERATELY AGENTIC,"{""trace_full_chain"": 15, ""echelon_risk_profile"": 15, ""identify_echelon_bottleneck"": 15, ""customer_demand_signal"": 10, ""map_dependencies"": 9, ""list_scenarios"": 9, ""assess_geo_risk"": 8, ""trace_supply_chain"": 8, ""find_substitutes"": 7, ""identify_chokepoints"": 1, ""compare_minerals"": 1, ""get_recommendations"": 1, ""list_data_sources"": 1, ""generate_report"": 1, ""finish"": 1}"
68,"Analyse geopolitical risk for Gallium, Germanium, Rare Earth Elements",26,46,0.9347,0.0652,0.8261,0.5652,MODERATELY AGENTIC,"{""map_dependencies"": 8, ""fetch_live_country_stability"": 4, ""assess_geo_risk"": 3, ""trace_supply_chain"": 3, ""find_substitutes"": 3, ""get_recommendations"": 3, ""trace_full_chain"": 3, ""echelon_risk_profile"": 3, ""identify_echelon_bottleneck"": 3, ""customer_demand_signal"": 3, ""run_scenario"": 3, ""portfolio_overview"": 1, ""identify_chokepoints"": 1, ""compare_minerals"": 1, ""list_data_sources"": 1, ""list_scenarios"": 1, ""generate_report"": 1, ""finish"": 1}"
69,Analyse geopolitical risk for Cobalt and Lithium in EV battery manufacturing,22,31,0.959,0.0,0.7419,0.532,MODERATELY AGENTIC,"{""fetch_live_country_stability"": 5, ""assess_geo_risk"": 2, ""trace_supply_chain"": 2, ""find_substitutes"": 2, ""map_dependencies"": 2, ""get_recommendations"": 2, ""trace_full_chain"": 2, ""echelon_risk_profile"": 2, ""identify_echelon_bottleneck"": 2, ""customer_demand_signal"": 2, ""portfolio_overview"": 1, ""identify_chokepoints"": 1, ""compare_minerals"": 1, ""list_data_sources"": 1, ""list_scenarios"": 1, ""run_scenario"": 1, ""generate_report"": 1, ""finish"": 1}"
